jugador_id,nombre,equipo_en_nuestros_datos,estado,motivo
248112,Abdou Diallo,Senegal,necesita_revision_manual,nombre_ambiguo
526988,Abdoul Koné,Reims,necesita_revision_manual,nombre_ambiguo
498812,Abdoulaye Faye,Lorient,necesita_revision_manual,nombre_ambiguo
447872,Abdoulaye Keita,Getafe,necesita_revision_manual,nombre_ambiguo
244795,Abdoulaye Seck,Senegal,necesita_revision_manual,nombre_ambiguo
128880,Abdoulaye Touré,Le Havre,necesita_revision_manual,nombre_ambiguo
111987,Abdulaziz Hatem,Qatar,necesita_revision_manual,sin_candidatos_exactos
447546,Abolfazl Jalali,Iran,necesita_revision_manual,nombre_ambiguo
517987,Aboubacar Ali Abdallah,Strasbourg,necesita_revision_manual,sin_candidatos_exactos
502951,Aboubakar Nagida,Rennes,necesita_revision_manual,sin_candidatos_exactos
435987,Abu Kamara,Getafe,necesita_revision_manual,nombre_ambiguo
136460,Adam Armstrong,Wolves,necesita_revision_manual,nombre_ambiguo
109922,Adam Webster,Brighton,necesita_revision_manual,nombre_ambiguo
140088,Adama Traoré,West Ham,necesita_revision_manual,nombre_ambiguo
382159,Adrien Lebeau,Brest,necesita_revision_manual,nombre_ambiguo
448041,Adrià Alti,Villarreal,necesita_revision_manual,sin_candidatos_exactos
73399,Adrián,Real Betis,necesita_revision_manual,sin_candidatos_exactos
519104,Adrián Liso,Getafe,necesita_revision_manual,nombre_ambiguo
447568,Ahmad Noorollahi,Iran,necesita_revision_manual,sin_candidatos_exactos
458143,Ahmed Basil,Iraq,necesita_revision_manual,sin_candidatos_exactos
512984,Akam Hashim,Iraq,necesita_revision_manual,sin_candidatos_exactos
381792,Al Musrati,Verona,necesita_revision_manual,sin_candidatos_exactos
113275,Alberto Moreno,Como,necesita_revision_manual,nombre_ambiguo
93543,Alberto Perea,Granada,necesita_revision_manual,nombre_ambiguo
280663,Aleix García,Bayer Leverkusen,necesita_revision_manual,nombre_ambiguo
302991,Alejandro Romero,Paraguay,necesita_revision_manual,nombre_ambiguo
115279,Aleksandar Mitrovic,Fulham,necesita_revision_manual,nombre_ambiguo
403916,Aleksandar Radovanovic,Almeria,necesita_revision_manual,nombre_ambiguo
459075,Aleksandar Stankovic,Club Brugge,necesita_revision_manual,nombre_ambiguo
120151,Alen Halilovic,Fortuna Sittard,necesita_revision_manual,nombre_ambiguo
550174,Alessandro Romano,Roma,necesita_revision_manual,nombre_ambiguo
446956,Alessandro Sorrentino,Monza,necesita_revision_manual,nombre_ambiguo
238899,Alex Berenguer,Athletic Club,necesita_revision_manual,nombre_ambiguo
502567,Alex Matos,Chelsea,necesita_revision_manual,nombre_ambiguo
25244,Alexis Sánchez,Sevilla,necesita_revision_manual,nombre_ambiguo
276489,Alfonso Pedraza,Villarreal,necesita_revision_manual,nombre_ambiguo
94824,Alfredo Morales,St. Louis City,necesita_revision_manual,nombre_ambiguo
403771,Ali Alipour,Iran,necesita_revision_manual,nombre_ambiguo
142981,Ali Assadalla,Qatar,necesita_revision_manual,sin_candidatos_exactos
400303,Ali Gholizadeh,Iran,necesita_revision_manual,nombre_ambiguo
129402,Ali Karimi,Iran,necesita_revision_manual,nombre_ambiguo
560831,Ali Nemati,Iran,necesita_revision_manual,nombre_ambiguo
361707,Altay Bayindir,Man Utd,necesita_revision_manual,sin_candidatos_exactos
547086,Amadou Cissé,Strasbourg,necesita_revision_manual,nombre_ambiguo
444998,Amadou Diallo,Newcastle,necesita_revision_manual,nombre_ambiguo
506913,Amadou Koné,Reims,necesita_revision_manual,nombre_ambiguo
456785,Amir Ismaïl,SC Heerenveen,necesita_revision_manual,nombre_ambiguo
