1,15/08/2025,Stade Rennais FC,Olympique de Marseille,1-0
1,16/08/2025,RC Lens,Olympique Lyonnais,0-1
1,16/08/2025,AS Monaco,Havre Athletic Club,3-1
1,16/08/2025,OGC Nice,Toulouse FC,0-1
1,17/08/2025,Stade Brestois 29,LOSC Lille,3-3
1,17/08/2025,Angers SCO,Paris FC,1-0
1,17/08/2025,AJ Auxerre,FC Lorient,1-0
1,17/08/2025,FC Metz,RC Strasbourg Alsace,0-1
1,17/08/2025,FC Nantes,Paris Saint-Germain,0-1
2,22/08/2025,Paris Saint-Germain,Angers SCO,1-0
2,23/08/2025,Olympique de Marseille,Paris FC,5-2
2,23/08/2025,OGC Nice,AJ Auxerre,3-1
2,23/08/2025,Olympique Lyonnais,FC Metz,3-0
2,24/08/2025,FC Lorient,Stade Rennais FC,4-0
2,24/08/2025,Havre Athletic Club,RC Lens,1-2
2,24/08/2025,RC Strasbourg Alsace,FC Nantes,1-0
2,24/08/2025,Toulouse FC,Stade Brestois 29,2-0
2,24/08/2025,LOSC Lille,AS Monaco,1-0
3,29/08/2025,RC Lens,Stade Brestois 29,3-1
3,30/08/2025,FC Lorient,LOSC Lille,1-7
3,30/08/2025,FC Nantes,AJ Auxerre,1-0
3,30/08/2025,Toulouse FC,Paris Saint-Germain,3-6
3,31/08/2025,Angers SCO,Stade Rennais FC,1-1
3,31/08/2025,Havre Athletic Club,OGC Nice,3-1
3,31/08/2025,AS Monaco,RC Strasbourg Alsace,3-2
3,31/08/2025,Paris FC,FC Metz,3-2
3,31/08/2025,Olympique Lyonnais,Olympique de Marseille,1-0
4,12/09/2025,Olympique de Marseille,FC Lorient,4-0
4,13/09/2025,OGC Nice,FC Nantes,1-0
4,13/09/2025,AJ Auxerre,AS Monaco,1-2
4,14/09/2025,LOSC Lille,Toulouse FC,2-1
4,14/09/2025,Stade Brestois 29,Paris FC,1-2
4,14/09/2025,FC Metz,Angers SCO,1-1
4,14/09/2025,Paris Saint-Germain,RC Lens,2-0
4,14/09/2025,RC Strasbourg Alsace,Havre Athletic Club,1-0
4,14/09/2025,Stade Rennais FC,Olympique Lyonnais,3-1
5,19/09/2025,Olympique Lyonnais,Angers SCO,1-0
5,20/09/2025,FC Nantes,Stade Rennais FC,2-2
5,20/09/2025,Stade Brestois 29,OGC Nice,4-1
5,20/09/2025,RC Lens,LOSC Lille,3-0
5,21/09/2025,Paris FC,RC Strasbourg Alsace,2-3
5,21/09/2025,AJ Auxerre,Toulouse FC,1-0
5,21/09/2025,Havre Athletic Club,FC Lorient,1-1
